Daily Averages and Snow/Precipitation Indicators (Updated):
      date  avg_injuries  avg_deaths  snow_over_0_1  precipitation_over_0_1  total_precipitation  total_snowfall
2022-01-01          0.25        0.00              0                       1            20.866141        0.000000
2022-01-02          0.30        0.00              0                       1             6.929134        0.000000
2022-01-03          0.25        0.00              1                       0             1.496063       10.472442
2022-01-04          0.30        0.00              0                       0             0.000000        0.000000
2022-01-05          0.45        0.00              0                       0             0.236220        0.000000
2022-01-06          0.15        0.00              0                       0             0.078740        0.551181
2022-01-07          0.40        0.00              1                       1             7.007874       49.055114
2022-01-08          0.10        0.00              0                       0             0.000000        0.000000
2022-01-09          0.30        0.00              0                       1             3.937008        0.000000
2022-01-10          0.20        0.00              0                       0             0.000000        0.000000
2022-01-11          0.25        0.00              0                       0             0.000000        0.000000
2022-01-12          0.50        0.00              0                       0             0.000000        0.000000
2022-01-13          0.25        0.00              0                       0             0.000000        0.000000
2022-01-14          0.35        0.00              0                       0             0.000000        0.000000
2022-01-15          0.20        0.00              0                       0             0.000000        0.000000
2022-01-16          0.50        0.00              1                       1             5.354331       14.881890
2022-01-17          0.25        0.00              0                       1            26.456692        1.102362
2022-01-18          0.25        0.00              0                       0             0.000000        0.000000
2022-01-19          0.25        0.00              0                       0             0.000000        0.000000
2022-01-20          0.35        0.00              1                       1             5.590551       13.779527
2022-01-21          0.15        0.00              0                       0             0.000000        0.000000
2022-01-22          0.35        0.00              0                       0             0.000000        0.000000
2022-01-23          0.25        0.00              0                       0             0.236220        1.653543
2022-01-24          0.20        0.05              0                       0             0.157480        1.102362
2022-01-25          0.45        0.00              0                       0             0.000000        0.000000
2022-01-26          0.65        0.00              0                       0             0.000000        0.000000
2022-01-27          0.50        0.00              0                       0             0.000000        0.000000
2022-01-28          0.40        0.00              1                       1             2.519685       17.637794
2022-01-29          0.30        0.00              1                       1            14.094487       99.212618
2022-01-30          0.70        0.00              0                       0             0.000000        0.000000
2022-01-31          0.25        0.00              0                       0             0.000000        0.000000
2022-02-01          0.55        0.00              0                       0             0.000000        0.000000
2022-02-02          0.60        0.00              0                       0             0.000000        0.000000
2022-02-03          0.40        0.00              0                       1            10.078740        0.000000
2022-02-04          0.35        0.00              0                       1            18.740155        1.102362
2022-02-05          0.50        0.00              0                       0             0.236220        1.653543
2022-02-06          0.10        0.00              0                       0             0.000000        0.000000
2022-02-07          0.35        0.00              1                       1             4.488189        3.858268
2022-02-08          0.35        0.00              0                       1             2.519685        0.000000
2022-02-09          1.05        0.00              0                       0             0.000000        0.000000
2022-02-10          0.35        0.00              0                       0             0.078740        0.000000
2022-02-11          0.55        0.00              0                       0             0.000000        0.000000
2022-02-12          0.55        0.00              0                       0             0.000000        0.000000
2022-02-13          0.85        0.00              1                       1             4.488189       31.417317
2022-02-14          0.15        0.00              0                       0             0.000000        0.000000
2022-02-15          0.35        0.00              0                       0             0.000000        0.000000
2022-02-16          0.35        0.00              0                       0             0.000000        0.000000
2022-02-17          0.60        0.05              0                       1             4.330708        0.000000
2022-02-18          0.30        0.00              0                       1             7.322834        0.000000
2022-02-19          0.40        0.00              1                       0             0.314961        2.204724
2022-02-20          0.45        0.00              0                       0             0.000000        0.000000
2022-02-21          0.55        0.05              0                       0             0.000000        0.000000
2022-02-22          0.50        0.05              0                       1             4.015748        0.000000
2022-02-23          0.35        0.00              0                       0             0.078740        0.000000
2022-02-24          0.35        0.05              0                       0             0.078740        0.000000
2022-02-25          0.35        0.00              1                       1            15.669291       15.433069
2022-02-26          0.60        0.00              0                       0             0.000000        0.000000
2022-02-27          0.60        0.00              0                       0             0.000000        0.000000
2022-02-28          0.35        0.00              0                       0             0.000000        0.000000
2022-03-01          0.25        0.00              0                       0             0.157480        0.000000
2022-03-02          0.70        0.00              0                       0             0.000000        0.000000
2022-03-03          0.50        0.00              0                       1             2.755905        0.000000
2022-03-04          0.35        0.00              0                       0             0.000000        0.000000
2022-03-05          0.15        0.00              0                       0             0.078740        0.000000
2022-03-06          0.55        0.00              0                       0             1.574803        0.000000
2022-03-07          0.55        0.00              0                       1             2.834646        0.000000
2022-03-08          0.25        0.00              0                       0             0.000000        0.000000
2022-03-09          0.65        0.00              1                       1            12.125983       41.338582
2022-03-10          0.80        0.00              0                       0             0.000000        0.000000
2022-03-11          0.30        0.00              0                       0             0.000000        0.000000
2022-03-12          0.15        0.00              1                       1            12.125983       39.685037
2022-03-13          0.40        0.00              0                       0             0.157480        1.102362
2022-03-14          0.40        0.00              0                       0             0.000000        0.000000
2022-03-15          0.65        0.00              0                       0             0.000000        0.000000
2022-03-16          0.60        0.00              0                       0             0.078740        0.000000
2022-03-17          0.45        0.00              0                       1             5.196850        0.000000
2022-03-18          0.50        0.00              0                       0             0.000000        0.000000
2022-03-19          1.05        0.00              0                       1             2.598425        0.000000
2022-03-20          0.55        0.00              0                       0             0.078740        0.000000
2022-03-21          0.65        0.00              0                       0             0.000000        0.000000
2022-03-22          0.40        0.00              0                       0             0.000000        0.000000
2022-03-23          0.40        0.00              0                       1             2.913386        0.000000
2022-03-24          0.45        0.00              0                       1            19.212599        0.000000
2022-03-25          0.55        0.00              0                       1             3.228346        0.000000
2022-03-26          0.60        0.00              1                       1             4.566929        4.409449
2022-03-27          0.30        0.00              0                       0             0.236220        0.000000
2022-03-28          0.45        0.00              0                       0             0.078740        0.551181
2022-03-29          0.45        0.00              0                       0             0.000000        0.000000
2022-03-30          0.25        0.00              0                       0             0.000000        0.000000
2022-03-31          0.45        0.00              0                       1             4.173228        0.000000
2022-04-01          0.55        0.00              0                       0             1.259843        0.000000
2022-04-02          0.60        0.00              0                       0             0.000000        0.000000
2022-04-03          0.60        0.00              0                       1             2.755905        0.000000
